000000, 000000, 000000, 115511, 559977, 996655, 997799, AACCBB, EEBBAA, 995599, 005599, 000000, BB55BB, 6655BB, 6633FF, 770077
337766, FF3311, 556655, DD11BB, DD77EE, EE0000, EE0000, AABBAA, 000000, 000000, 000000, FF7766, 7711FF, DD4477, 99AA99, 002211
FF4433, 11FFEE, EE0000, 118877, BBFFEE, EE0000, EEFFEE, BB5533, 990000, 778877, EEEEDD, 6677EE, CC8833, FF00BB, 00AA99, 990000
000000, 000000, 000000, 000000, 110000, 112211, FF33FF, FF4433, 3344FF, 556655, 556655, 556655, 778877, 008877, 000000, 778877
558877, 552277, 55AA99, 33AA99, 113311, 115533, 5511BB, 331133, 000000, 000000, 000000, EEFFEE, 11FFEE, 113311, DD55DD, EE6655
6666EE, 778877, 778877, 779977, AABBAA, 00BBAA, 000000, EEFFEE, 77FFEE, 7733BB, 99CCBB, 55CCBB, BB33BB, 776655, 772211, BB11BB
000000, 000000, 000000, 00FFEE, 330000, 335533, EE77EE, EE8877, 9999EE, BBCCBB, CCCCBB, CCDDCC, EEFFEE, 00FFEE, 000000, 00FFEE
EE0000, EE6655, 77FFEE, 77FFEE, BB55BB, 776655, BB2211, 772277, 000000, 000000, 000000, 994433, 336655, 776633, BB77BB, FFBBAA
CCAA11, CCDDCC, EEFFEE, EEFFEE, 775533, 552277, BB33BB, 998877, 775599, FF66FF, 77AA99, BB8877, FFAAFF, DD33DD, EE5533, 000000
000000, 000000, 000000, BB2211, 3300BB, 5522DD, 115533, 552211, 773355, 77AA99, 550000, 554499, BB6655, 554433, 001133, 008877
550000, 112211, 1100FF, 330099, 000000, 556655, 990055, 99AA99, 000000, 000000, 000000, 773311, 6600FF, FF33FF, 777766, 7722FF
554477, 22CCBB, 770000, 9966FF, BB9977, 776655, 0011DD, 00CCBB, 770000, 113311, 112211, 551133, 000000, 998877, BB0099, BBCCBB
000000, 000000, 000000, 554433, 771155, 775511, FFBBAA, CC4499, 777755, BBFFEE, EE0000, FFBBAA, 77FFEE, EEAA99, 003311, 00FFEE
EE0000, 335533, 333311, 7711DD, 000000, DDDDCC, EE00DD, EEFFEE, 000000, 000000, 000000, 000000, 000000, 000000, BB9977, 996655
